question_text,document_title,language,annotations,document_plaintext,document_url,question_text_tokenized,document_plaintext_tokenized,label,word_frequency_score,logres_pred,bi_lstm_2b_preds,bi_lstm_3e_preds,logres_pred_bigram
What is the earliest known example of a domestic cat in history?,Cyprus cat,english,"{'answer_start': array([72]), 'answer_text': array(['Near Eastern wildcat'], dtype=object)}","A paper by J.-D. Vigne, et al., concluded in 2004 that the discovery of Near Eastern wildcat (Felis silvestris lybica) remains in a 9,500-year-old grave in Cyprus is the oldest example to date of a cat in close association with humans. Archaeologists led by Jean Guillain working at the Neolithic site of Shillourokambos uncovered carefully interred remains of a cat alongside human remains and decorative artifacts, on an island separated from the mainland since before human habitation, thus indicating human introduction of cats to the area. ""Examination showed that a small pit or grave had been deliberately dug out, and the body of the cat was placed in it, then rapidly covered."" The cat skeleton pre-dates Egyptian depictions of cats by 4,000 years or more.[1][2]  There is no evidence that modern cats of any variety are descended from ancient Cypriot wildcats; nevertheless both WCF[3] and TICA[4] have uncritically repeated breeder claims of such descent.",https://en.wikipedia.org/wiki/Cyprus%20cat,"['What', 'is', 'the', 'earliest', 'known', 'example', 'of', 'a', 'domestic', 'cat', 'in', 'history', '?']","['A', 'paper', 'by', 'J.-D.', 'Vigne', ',', 'et', 'al.', ',', 'concluded', 'in', '2004', 'that', 'the', 'discovery', 'of', 'Near', 'Eastern', 'wildcat', '(', 'Felis', 'silvestris', 'lybica', ')', 'remains', 'in', 'a', '9,500-year-old', 'grave', 'in', 'Cyprus', 'is', 'the', 'oldest', 'example', 'to', 'date', 'of', 'a', 'cat', 'in', 'close', 'association', 'with', 'humans.', 'Archaeologists', 'led', 'by', 'Jean', 'Guillain', 'working', 'at', 'the', 'Neolithic', 'site', 'of', 'Shillourokambos', 'uncovered', 'carefully', 'interred', 'remains', 'of', 'a', 'cat', 'alongside', 'human', 'remains', 'and', 'decorative', 'artifacts', ',', 'on', 'an', 'island', 'separated', 'from', 'the', 'mainland', 'since', 'before', 'human', 'habitation', ',', 'thus', 'indicating', 'human', 'introduction', 'of', 'cats', 'to', 'the', 'area.', '``', 'Examination', 'showed', 'that', 'a', 'small', 'pit', 'or', 'grave', 'had', 'been', 'deliberately', 'dug', 'out', ',', 'and', 'the', 'body', 'of', 'the', 'cat', 'was', 'placed', 'in', 'it', ',', 'then', 'rapidly', 'covered.', ""''"", 'The', 'cat', 'skeleton', 'pre-dates', 'Egyptian', 'depictions', 'of', 'cats', 'by', '4,000', 'years', 'or', 'more.', '[', '1', ']', '[', '2', ']', 'There', 'is', 'no', 'evidence', 'that', 'modern', 'cats', 'of', 'any', 'variety', 'are', 'descended', 'from', 'ancient', 'Cypriot', 'wildcats', ';', 'nevertheless', 'both', 'WCF', '[', '3', ']', 'and', 'TICA', '[', '4', ']', 'have', 'uncritically', 'repeated', 'breeder', 'claims', 'of', 'such', 'descent', '.']",1,0.5384615384615384,1,1,1,1
Where was Super Bowl XXVII held?,Super Bowl XXVII,english,"{'answer_start': array([764]), 'answer_text': array(['Pasadena, California'], dtype=object)}","Super Bowl XXVII was an American football game between the American Football Conference (AFC) champion Buffalo Bills and the National Football Conference (NFC) champion Dallas Cowboys to decide the National Football League (NFL) champion for the 1992 season. The Cowboys defeated the Bills by the score of 52–17, winning their third Super Bowl in team history, and their first one in 15 years. This game is tied with Super Bowl XXXVII as the third-highest scoring Super Bowl ever with 69 combined points.[5] The Bills became the first team to lose three consecutive Super Bowls, and just the second team to play in three straight (the Miami Dolphins played in Super Bowls VI–VIII, winning VII and VIII). The game was played on January 31, 1993 at the Rose Bowl in Pasadena, California, the seventh Super Bowl held in the Greater Los Angeles Area.",https://en.wikipedia.org/wiki/Super%20Bowl%20XXVII,"['Where', 'was', 'Super', 'Bowl', 'XXVII', 'held', '?']","['Super', 'Bowl', 'XXVII', 'was', 'an', 'American', 'football', 'game', 'between', 'the', 'American', 'Football', 'Conference', '(', 'AFC', ')', 'champion', 'Buffalo', 'Bills', 'and', 'the', 'National', 'Football', 'Conference', '(', 'NFC', ')', 'champion', 'Dallas', 'Cowboys', 'to', 'decide', 'the', 'National', 'Football', 'League', '(', 'NFL', ')', 'champion', 'for', 'the', '1992', 'season.', 'The', 'Cowboys', 'defeated', 'the', 'Bills', 'by', 'the', 'score', 'of', '52–17', ',', 'winning', 'their', 'third', 'Super', 'Bowl', 'in', 'team', 'history', ',', 'and', 'their', 'first', 'one', 'in', '15', 'years.', 'This', 'game', 'is', 'tied', 'with', 'Super', 'Bowl', 'XXXVII', 'as', 'the', 'third-highest', 'scoring', 'Super', 'Bowl', 'ever', 'with', '69', 'combined', 'points.', '[', '5', ']', 'The', 'Bills', 'became', 'the', 'first', 'team', 'to', 'lose', 'three', 'consecutive', 'Super', 'Bowls', ',', 'and', 'just', 'the', 'second', 'team', 'to', 'play', 'in', 'three', 'straight', '(', 'the', 'Miami', 'Dolphins', 'played', 'in', 'Super', 'Bowls', 'VI–VIII', ',', 'winning', 'VII', 'and', 'VIII', ')', '.', 'The', 'game', 'was', 'played', 'on', 'January', '31', ',', '1993', 'at', 'the', 'Rose', 'Bowl', 'in', 'Pasadena', ',', 'California', ',', 'the', 'seventh', 'Super', 'Bowl', 'held', 'in', 'the', 'Greater', 'Los', 'Angeles', 'Area', '.']",1,0.7142857142857143,0,1,1,1
When did John Grisham publish his first book?,John Grisham,english,"{'answer_start': array([50]), 'answer_text': array(['June 1989'], dtype=object)}","His first novel, A Time to Kill, was published in June 1989, four years after he began writing it. As of 2012, his books have sold over 275 million copies worldwide.",https://en.wikipedia.org/wiki/John%20Grisham,"['When', 'did', 'John', 'Grisham', 'publish', 'his', 'first', 'book', '?']","['His', 'first', 'novel', ',', 'A', 'Time', 'to', 'Kill', ',', 'was', 'published', 'in', 'June', '1989', ',', 'four', 'years', 'after', 'he', 'began', 'writing', 'it.', 'As', 'of', '2012', ',', 'his', 'books', 'have', 'sold', 'over', '275', 'million', 'copies', 'worldwide', '.']",1,0.2222222222222222,1,0,0,1
When did Shanghai first become a city?,Shanghai,english,"{'answer_start': array([123]), 'answer_text': array(['746'], dtype=object)}","During the Tang and Song dynasties, Qinglong Town (青龙镇) in modern Qingpu District was a major trading port. Established in 746 (fifth year of the Tang Tianbao era), it developed into what contemporary sources called a ""giant town of the Southeast"", with thirteen temples and seven pagodas. The famous Song scholar and artist Mi Fu served as its mayor. The port had a thriving trade with provinces along the Yangtze River and the Chinese coast, as well as foreign countries such as Japan and Silla.",https://en.wikipedia.org/wiki/Shanghai,"['When', 'did', 'Shanghai', 'first', 'become', 'a', 'city', '?']","['During', 'the', 'Tang', 'and', 'Song', 'dynasties', ',', 'Qinglong', 'Town', '(', '青龙镇', ')', 'in', 'modern', 'Qingpu', 'District', 'was', 'a', 'major', 'trading', 'port.', 'Established', 'in', '746', '(', 'fifth', 'year', 'of', 'the', 'Tang', 'Tianbao', 'era', ')', ',', 'it', 'developed', 'into', 'what', 'contemporary', 'sources', 'called', 'a', '``', 'giant', 'town', 'of', 'the', 'Southeast', ""''"", ',', 'with', 'thirteen', 'temples', 'and', 'seven', 'pagodas.', 'The', 'famous', 'Song', 'scholar', 'and', 'artist', 'Mi', 'Fu', 'served', 'as', 'its', 'mayor.', 'The', 'port', 'had', 'a', 'thriving', 'trade', 'with', 'provinces', 'along', 'the', 'Yangtze', 'River', 'and', 'the', 'Chinese', 'coast', ',', 'as', 'well', 'as', 'foreign', 'countries', 'such', 'as', 'Japan', 'and', 'Silla', '.']",1,0.125,0,1,1,0
When did Pushkin write Eugene Onegin?,Eugene Onegin,english,"{'answer_start': array([403]), 'answer_text': array(['1825'], dtype=object)}","Eugene Onegin (pre-reform Russian: Евгеній Онѣгинъ; post-reform Russian:Евгений Онегин, tr.Yevgeniy Onegin,IPA:[jɪvˈɡʲenʲɪj ɐˈnʲeɡʲɪn]) is a novel in verse written by Alexander Pushkin. Onegin is considered a classic of Russian literature, and its eponymous protagonist has served as the model for a number of Russian literary heroes (so-called superfluous men). It was published in serial form between 1825 and 1832. The first complete edition was published in 1833, and the currently accepted version is based on the 1837 publication.",https://en.wikipedia.org/wiki/Eugene%20Onegin,"['When', 'did', 'Pushkin', 'write', 'Eugene', 'Onegin', '?']","['Eugene', 'Onegin', '(', 'pre-reform', 'Russian', ':', 'Евгеній', 'Онѣгинъ', ';', 'post-reform', 'Russian', ':', 'Евгений', 'Онегин', ',', 'tr.Yevgeniy', 'Onegin', ',', 'IPA', ':', '[', 'jɪvˈɡʲenʲɪj', 'ɐˈnʲeɡʲɪn', ']', ')', 'is', 'a', 'novel', 'in', 'verse', 'written', 'by', 'Alexander', 'Pushkin.', 'Onegin', 'is', 'considered', 'a', 'classic', 'of', 'Russian', 'literature', ',', 'and', 'its', 'eponymous', 'protagonist', 'has', 'served', 'as', 'the', 'model', 'for', 'a', 'number', 'of', 'Russian', 'literary', 'heroes', '(', 'so-called', 'superfluous', 'men', ')', '.', 'It', 'was', 'published', 'in', 'serial', 'form', 'between', '1825', 'and', '1832.', 'The', 'first', 'complete', 'edition', 'was', 'published', 'in', '1833', ',', 'and', 'the', 'currently', 'accepted', 'version', 'is', 'based', 'on', 'the', '1837', 'publication', '.']",1,0.2857142857142857,0,1,1,1
Who was the first ruler in the Palaiologos dynasty of the Byzantine Empire?,Byzantine Empire under the Palaiologos dynasty,english,"{'answer_start': array([167]), 'answer_text': array(['Michael VIII Palaiologos'], dtype=object)}","The Byzantine Empire was ruled by the Palaiologos dynasty in the period between 1261 and 1453, from the restoration of Byzantine rule to Constantinople by the usurper Michael VIII Palaiologos following its recapture from the Latin Empire, founded after the Fourth Crusade (1204), up to the Fall of Constantinople to the Ottoman Empire. Together with the preceding Nicaean Empire and the contemporary Frankokratia, this period is known as the late Byzantine Empire.",https://en.wikipedia.org/wiki/Byzantine%20Empire%20under%20the%20Palaiologos%20dynasty,"['Who', 'was', 'the', 'first', 'ruler', 'in', 'the', 'Palaiologos', 'dynasty', 'of', 'the', 'Byzantine', 'Empire', '?']","['The', 'Byzantine', 'Empire', 'was', 'ruled', 'by', 'the', 'Palaiologos', 'dynasty', 'in', 'the', 'period', 'between', '1261', 'and', '1453', ',', 'from', 'the', 'restoration', 'of', 'Byzantine', 'rule', 'to', 'Constantinople', 'by', 'the', 'usurper', 'Michael', 'VIII', 'Palaiologos', 'following', 'its', 'recapture', 'from', 'the', 'Latin', 'Empire', ',', 'founded', 'after', 'the', 'Fourth', 'Crusade', '(', '1204', ')', ',', 'up', 'to', 'the', 'Fall', 'of', 'Constantinople', 'to', 'the', 'Ottoman', 'Empire.', 'Together', 'with', 'the', 'preceding', 'Nicaean', 'Empire', 'and', 'the', 'contemporary', 'Frankokratia', ',', 'this', 'period', 'is', 'known', 'as', 'the', 'late', 'Byzantine', 'Empire', '.']",1,0.7142857142857143,1,1,1,1
When was CSS developed?,Cascading Style Sheets,english,"{'answer_start': array([364]), 'answer_text': array(['1996'], dtype=object)}","CSS was first proposed by Håkon Wium Lie on October 10, 1994.[19] At the time, Lie was working with Tim Berners-Lee at CERN.[20] Several other style sheet languages for the web were proposed around the same time, and discussions on public mailing lists and inside World Wide Web Consortium resulted in the first W3C CSS Recommendation (CSS1)[21] being released in 1996. In particular, a proposal by Bert Bos was influential; he became co-author of CSS1, and is regarded as co-creator of CSS.",https://en.wikipedia.org/wiki/Cascading%20Style%20Sheets,"['When', 'was', 'CSS', 'developed', '?']","['CSS', 'was', 'first', 'proposed', 'by', 'Håkon', 'Wium', 'Lie', 'on', 'October', '10', ',', '1994.', '[', '19', ']', 'At', 'the', 'time', ',', 'Lie', 'was', 'working', 'with', 'Tim', 'Berners-Lee', 'at', 'CERN.', '[', '20', ']', 'Several', 'other', 'style', 'sheet', 'languages', 'for', 'the', 'web', 'were', 'proposed', 'around', 'the', 'same', 'time', ',', 'and', 'discussions', 'on', 'public', 'mailing', 'lists', 'and', 'inside', 'World', 'Wide', 'Web', 'Consortium', 'resulted', 'in', 'the', 'first', 'W3C', 'CSS', 'Recommendation', '(', 'CSS1', ')', '[', '21', ']', 'being', 'released', 'in', '1996.', 'In', 'particular', ',', 'a', 'proposal', 'by', 'Bert', 'Bos', 'was', 'influential', ';', 'he', 'became', 'co-author', 'of', 'CSS1', ',', 'and', 'is', 'regarded', 'as', 'co-creator', 'of', 'CSS', '.']",1,0.4,1,1,1,1
Who created Star Trek?,Gene Roddenberry,english,"{'answer_start': array([0]), 'answer_text': array(['Eugene Wesley Roddenberry'], dtype=object)}","Eugene Wesley Roddenberry (August 19, 1921 – October 24, 1991) was an American television screenwriter, producer and creator of the original Star Trek television series. Born in El Paso, Texas, Roddenberry grew up in Los Angeles, where his father was a police officer. Roddenberry flew 89 combat missions in the Army Air Forces during World WarII, and worked as a commercial pilot after the war. Later, he followed in his father's footsteps and joined the Los Angeles Police Department, where he also began to write scripts for television.",https://en.wikipedia.org/wiki/Gene%20Roddenberry,"['Who', 'created', 'Star', 'Trek', '?']","['Eugene', 'Wesley', 'Roddenberry', '(', 'August', '19', ',', '1921', '–', 'October', '24', ',', '1991', ')', 'was', 'an', 'American', 'television', 'screenwriter', ',', 'producer', 'and', 'creator', 'of', 'the', 'original', 'Star', 'Trek', 'television', 'series.', 'Born', 'in', 'El', 'Paso', ',', 'Texas', ',', 'Roddenberry', 'grew', 'up', 'in', 'Los', 'Angeles', ',', 'where', 'his', 'father', 'was', 'a', 'police', 'officer.', 'Roddenberry', 'flew', '89', 'combat', 'missions', 'in', 'the', 'Army', 'Air', 'Forces', 'during', 'World', 'WarII', ',', 'and', 'worked', 'as', 'a', 'commercial', 'pilot', 'after', 'the', 'war.', 'Later', ',', 'he', 'followed', 'in', 'his', 'father', ""'s"", 'footsteps', 'and', 'joined', 'the', 'Los', 'Angeles', 'Police', 'Department', ',', 'where', 'he', 'also', 'began', 'to', 'write', 'scripts', 'for', 'television', '.']",1,0.4,1,1,1,1
What chemical is in a fire extinguisher?,Fire extinguisher,english,"{'answer_start': array([286]), 'answer_text': array(['nitrogen'], dtype=object)}","There are two main types of fire extinguishers: stored-pressure and cartridge-operated. In stored pressure units, the expellant is stored in the same chamber as the firefighting agent itself. Depending on the agent used, different propellants are used. With dry chemical extinguishers, nitrogen is typically used; water and foam extinguishers typically use air. Stored pressure fire extinguishers are the most common type. Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent. This type is not as common, used primarily in areas such as industrial facilities, where they receive higher-than-average use. They have the advantage of simple and prompt recharge, allowing an operator to discharge the extinguisher, recharge it, and return to the fire in a reasonable amount of time. Unlike stored pressure types, these extinguishers use compressed carbon dioxide instead of nitrogen, although nitrogen cartridges are used on low temperature (-60 rated) models. Cartridge operated extinguishers are available in dry chemical and dry powder types in the U.S. and in water, wetting agent, foam, dry chemical (classes ABC and B.C.), and dry powder (class D) types in the rest of the world.",https://en.wikipedia.org/wiki/Fire%20extinguisher,"['What', 'chemical', 'is', 'in', 'a', 'fire', 'extinguisher', '?']","['There', 'are', 'two', 'main', 'types', 'of', 'fire', 'extinguishers', ':', 'stored-pressure', 'and', 'cartridge-operated.', 'In', 'stored', 'pressure', 'units', ',', 'the', 'expellant', 'is', 'stored', 'in', 'the', 'same', 'chamber', 'as', 'the', 'firefighting', 'agent', 'itself.', 'Depending', 'on', 'the', 'agent', 'used', ',', 'different', 'propellants', 'are', 'used.', 'With', 'dry', 'chemical', 'extinguishers', ',', 'nitrogen', 'is', 'typically', 'used', ';', 'water', 'and', 'foam', 'extinguishers', 'typically', 'use', 'air.', 'Stored', 'pressure', 'fire', 'extinguishers', 'are', 'the', 'most', 'common', 'type.', 'Cartridge-operated', 'extinguishers', 'contain', 'the', 'expellant', 'gas', 'in', 'a', 'separate', 'cartridge', 'that', 'is', 'punctured', 'prior', 'to', 'discharge', ',', 'exposing', 'the', 'propellant', 'to', 'the', 'extinguishing', 'agent.', 'This', 'type', 'is', 'not', 'as', 'common', ',', 'used', 'primarily', 'in', 'areas', 'such', 'as', 'industrial', 'facilities', ',', 'where', 'they', 'receive', 'higher-than-average', 'use.', 'They', 'have', 'the', 'advantage', 'of', 'simple', 'and', 'prompt', 'recharge', ',', 'allowing', 'an', 'operator', 'to', 'discharge', 'the', 'extinguisher', ',', 'recharge', 'it', ',', 'and', 'return', 'to', 'the', 'fire', 'in', 'a', 'reasonable', 'amount', 'of', 'time.', 'Unlike', 'stored', 'pressure', 'types', ',', 'these', 'extinguishers', 'use', 'compressed', 'carbon', 'dioxide', 'instead', 'of', 'nitrogen', ',', 'although', 'nitrogen', 'cartridges', 'are', 'used', 'on', 'low', 'temperature', '(', '-60', 'rated', ')', 'models.', 'Cartridge', 'operated', 'extinguishers', 'are', 'available', 'in', 'dry', 'chemical', 'and', 'dry', 'powder', 'types', 'in', 'the', 'U.S.', 'and', 'in', 'water', ',', 'wetting', 'agent', ',', 'foam', ',', 'dry', 'chemical', '(', 'classes', 'ABC', 'and', 'B.C.', ')', ',', 'and', 'dry', 'powder', '(', 'class', 'D', ')', 'types', 'in', 'the', 'rest', 'of', 'the', 'world', '.']",1,0.75,0,1,1,0
What's the difference between an acoustic guitar and a classical?,Classical guitar,english,"{'answer_start': array([188]), 'answer_text': array(['gut or nylon, precursor of the acoustic and electric guitars which use metal strings'],
      dtype=object)}","The classical guitar (also known as the nylon-string guitar or Spanish guitar) is a member of the guitar family used in classical music. It is an acoustic wooden string instrument made of gut or nylon, precursor of the acoustic and electric guitars which use metal strings. Classical guitars are derived from the Spanish vihuela and gittern in the fifteenth and sixteenth century, which later evolved into the seventeenth and eighteenth century Baroque guitar and later the modern classical guitar in the mid nineteenth century.",https://en.wikipedia.org/wiki/Classical%20guitar,"['What', ""'s"", 'the', 'difference', 'between', 'an', 'acoustic', 'guitar', 'and', 'a', 'classical', '?']","['The', 'classical', 'guitar', '(', 'also', 'known', 'as', 'the', 'nylon-string', 'guitar', 'or', 'Spanish', 'guitar', ')', 'is', 'a', 'member', 'of', 'the', 'guitar', 'family', 'used', 'in', 'classical', 'music.', 'It', 'is', 'an', 'acoustic', 'wooden', 'string', 'instrument', 'made', 'of', 'gut', 'or', 'nylon', ',', 'precursor', 'of', 'the', 'acoustic', 'and', 'electric', 'guitars', 'which', 'use', 'metal', 'strings.', 'Classical', 'guitars', 'are', 'derived', 'from', 'the', 'Spanish', 'vihuela', 'and', 'gittern', 'in', 'the', 'fifteenth', 'and', 'sixteenth', 'century', ',', 'which', 'later', 'evolved', 'into', 'the', 'seventeenth', 'and', 'eighteenth', 'century', 'Baroque', 'guitar', 'and', 'later', 'the', 'modern', 'classical', 'guitar', 'in', 'the', 'mid', 'nineteenth', 'century', '.']",1,0.5833333333333334,1,1,1,1
When do children start to retain memories?,Childhood amnesia,english,"{'answer_start': array([312]), 'answer_text': array(['at the age of three or four, but it can range from two to eight years'],
      dtype=object)}","Some research has demonstrated that children can remember events from the age of one, but that these memories may decline as children get older.[3][4][5] 
Most psychologists differ in defining the offset of childhood amnesia. Some define it as the age from which a first memory can be retrieved. This is usually at the age of three or four, but it can range from two to eight years.",https://en.wikipedia.org/wiki/Childhood%20amnesia,"['When', 'do', 'children', 'start', 'to', 'retain', 'memories', '?']","['Some', 'research', 'has', 'demonstrated', 'that', 'children', 'can', 'remember', 'events', 'from', 'the', 'age', 'of', 'one', ',', 'but', 'that', 'these', 'memories', 'may', 'decline', 'as', 'children', 'get', 'older.', '[', '3', ']', '[', '4', ']', '[', '5', ']', 'Most', 'psychologists', 'differ', 'in', 'defining', 'the', 'offset', 'of', 'childhood', 'amnesia.', 'Some', 'define', 'it', 'as', 'the', 'age', 'from', 'which', 'a', 'first', 'memory', 'can', 'be', 'retrieved.', 'This', 'is', 'usually', 'at', 'the', 'age', 'of', 'three', 'or', 'four', ',', 'but', 'it', 'can', 'range', 'from', 'two', 'to', 'eight', 'years', '.']",1,0.375,1,1,1,1
Where are the Laguna people located?,Laguna Pueblo,english,"{'answer_start': array([123]), 'answer_text': array(['west-central New Mexico, USA'], dtype=object)}","The Laguna Pueblo (Western Keres: Kawaika [kʰɑwɑjkʰɑ]) is a federally recognized tribe of Native American Pueblo people in west-central New Mexico, USA. The name, Laguna, is Spanish (meaning ""small lake"") and derives from the lake located on their reservation. Originally, this body of water was the only lake in what is now the state of New Mexico, and was formed by an ancient dam that was constructed by the Laguna people. After the Pueblo Revolt of 1680-1696, the Mission San José de la Laguna was erected by the Spanish at the old pueblo (now Old Laguna),  and finished around July 4, 1699.",https://en.wikipedia.org/wiki/Laguna%20Pueblo,"['Where', 'are', 'the', 'Laguna', 'people', 'located', '?']","['The', 'Laguna', 'Pueblo', '(', 'Western', 'Keres', ':', 'Kawaika', '[', 'kʰɑwɑjkʰɑ', ']', ')', 'is', 'a', 'federally', 'recognized', 'tribe', 'of', 'Native', 'American', 'Pueblo', 'people', 'in', 'west-central', 'New', 'Mexico', ',', 'USA.', 'The', 'name', ',', 'Laguna', ',', 'is', 'Spanish', '(', 'meaning', '``', 'small', 'lake', ""''"", ')', 'and', 'derives', 'from', 'the', 'lake', 'located', 'on', 'their', 'reservation.', 'Originally', ',', 'this', 'body', 'of', 'water', 'was', 'the', 'only', 'lake', 'in', 'what', 'is', 'now', 'the', 'state', 'of', 'New', 'Mexico', ',', 'and', 'was', 'formed', 'by', 'an', 'ancient', 'dam', 'that', 'was', 'constructed', 'by', 'the', 'Laguna', 'people.', 'After', 'the', 'Pueblo', 'Revolt', 'of', '1680-1696', ',', 'the', 'Mission', 'San', 'José', 'de', 'la', 'Laguna', 'was', 'erected', 'by', 'the', 'Spanish', 'at', 'the', 'old', 'pueblo', '(', 'now', 'Old', 'Laguna', ')', ',', 'and', 'finished', 'around', 'July', '4', ',', '1699', '.']",1,0.5714285714285714,1,1,1,0
When was Last Exile released?,Last Exile,english,"{'answer_start': array([366]), 'answer_text': array(['April 7, 2003'], dtype=object)}","Last Exile(ラストエグザイル,Rasuto Eguzairu) is a Japanese animated television series created by Gonzo. It featured a production team led by director Koichi Chigira, character designer Range Murata, and production designer Mahiro Maeda. The three had previously worked together in Blue Submarine No. 6, one of the first CG anime series. Last Exile aired on TV Tokyo between April 7, 2003 and September 29, 2003. A sequel series, Last Exile -Fam, The Silver Wing-(ラストエグザイル～銀翼のファム～,Rasuto Eguzairu Gin'yoku no Famu), aired between October 15, 2011 and March 23, 2012. A film adaptation of the series, Last Exile -Fam, The Silver Wing-: Over the Wishes, was released on February 6, 2016.",https://en.wikipedia.org/wiki/Last%20Exile,"['When', 'was', 'Last', 'Exile', 'released', '?']","['Last', 'Exile', '(', 'ラストエグザイル', ',', 'Rasuto', 'Eguzairu', ')', 'is', 'a', 'Japanese', 'animated', 'television', 'series', 'created', 'by', 'Gonzo.', 'It', 'featured', 'a', 'production', 'team', 'led', 'by', 'director', 'Koichi', 'Chigira', ',', 'character', 'designer', 'Range', 'Murata', ',', 'and', 'production', 'designer', 'Mahiro', 'Maeda.', 'The', 'three', 'had', 'previously', 'worked', 'together', 'in', 'Blue', 'Submarine', 'No.', '6', ',', 'one', 'of', 'the', 'first', 'CG', 'anime', 'series.', 'Last', 'Exile', 'aired', 'on', 'TV', 'Tokyo', 'between', 'April', '7', ',', '2003', 'and', 'September', '29', ',', '2003.', 'A', 'sequel', 'series', ',', 'Last', 'Exile', '-Fam', ',', 'The', 'Silver', 'Wing-', '(', 'ラストエグザイル～銀翼のファム～', ',', 'Rasuto', 'Eguzairu', ""Gin'yoku"", 'no', 'Famu', ')', ',', 'aired', 'between', 'October', '15', ',', '2011', 'and', 'March', '23', ',', '2012.', 'A', 'film', 'adaptation', 'of', 'the', 'series', ',', 'Last', 'Exile', '-Fam', ',', 'The', 'Silver', 'Wing-', ':', 'Over', 'the', 'Wishes', ',', 'was', 'released', 'on', 'February', '6', ',', '2016', '.']",1,0.6666666666666666,1,1,1,1
Where was Zheng He born?,Zheng He,english,"{'answer_start': array([66]), 'answer_text': array(['Kunyang, Kunming, Yunnan, China'], dtype=object)}","Zheng He was born Ma He (馬和)[1][6] to a Muslim family[6][7][8] of Kunyang, Kunming, Yunnan, China.[9]  He had an older brother and four sisters.",https://en.wikipedia.org/wiki/Zheng%20He,"['Where', 'was', 'Zheng', 'He', 'born', '?']","['Zheng', 'He', 'was', 'born', 'Ma', 'He', '(', '馬和', ')', '[', '1', ']', '[', '6', ']', 'to', 'a', 'Muslim', 'family', '[', '6', ']', '[', '7', ']', '[', '8', ']', 'of', 'Kunyang', ',', 'Kunming', ',', 'Yunnan', ',', 'China.', '[', '9', ']', 'He', 'had', 'an', 'older', 'brother', 'and', 'four', 'sisters', '.']",1,0.6666666666666666,1,1,1,1
Who was the first president of Valdosta State University?,Valdosta State University,english,"{'answer_start': array([465]), 'answer_text': array(['Richard Holmes Powell'], dtype=object)}","The school that would become Valdosta State University was founded in 1906. Colonel W.S. West led the legislation through the Georgia Senate, and C.R. Ashley and E.J. McRee pushed it through the House. However, no funds were appropriated for it until 1911 when the state allocated $25,000. The city of Valdosta raised $50,000, and Col. West gave the property that is now the main part of campus to the state for use by the new institution. The president chosen was Richard Holmes Powell. His travels in the American southwest led him to choose the Spanish Mission style of architecture for the institution's buildings.[4] The school opened as South Georgia State Normal College (SGSNC) in January 1913, with three college freshmen and 15 sub freshmen. The early students were required to wear a school uniform and paid $10 per year for tuition and $12 per month for food and board. Most came to be teachers and studied subjects from literature to physics to agriculture.",https://en.wikipedia.org/wiki/Valdosta%20State%20University,"['Who', 'was', 'the', 'first', 'president', 'of', 'Valdosta', 'State', 'University', '?']","['The', 'school', 'that', 'would', 'become', 'Valdosta', 'State', 'University', 'was', 'founded', 'in', '1906.', 'Colonel', 'W.S.', 'West', 'led', 'the', 'legislation', 'through', 'the', 'Georgia', 'Senate', ',', 'and', 'C.R.', 'Ashley', 'and', 'E.J.', 'McRee', 'pushed', 'it', 'through', 'the', 'House.', 'However', ',', 'no', 'funds', 'were', 'appropriated', 'for', 'it', 'until', '1911', 'when', 'the', 'state', 'allocated', '$', '25,000.', 'The', 'city', 'of', 'Valdosta', 'raised', '$', '50,000', ',', 'and', 'Col.', 'West', 'gave', 'the', 'property', 'that', 'is', 'now', 'the', 'main', 'part', 'of', 'campus', 'to', 'the', 'state', 'for', 'use', 'by', 'the', 'new', 'institution.', 'The', 'president', 'chosen', 'was', 'Richard', 'Holmes', 'Powell.', 'His', 'travels', 'in', 'the', 'American', 'southwest', 'led', 'him', 'to', 'choose', 'the', 'Spanish', 'Mission', 'style', 'of', 'architecture', 'for', 'the', 'institution', ""'s"", 'buildings.', '[', '4', ']', 'The', 'school', 'opened', 'as', 'South', 'Georgia', 'State', 'Normal', 'College', '(', 'SGSNC', ')', 'in', 'January', '1913', ',', 'with', 'three', 'college', 'freshmen', 'and', '15', 'sub', 'freshmen.', 'The', 'early', 'students', 'were', 'required', 'to', 'wear', 'a', 'school', 'uniform', 'and', 'paid', '$', '10', 'per', 'year', 'for', 'tuition', 'and', '$', '12', 'per', 'month', 'for', 'food', 'and', 'board.', 'Most', 'came', 'to', 'be', 'teachers', 'and', 'studied', 'subjects', 'from', 'literature', 'to', 'physics', 'to', 'agriculture', '.']",1,0.7,0,1,1,0
